loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_precision,eval_recall,eval_f1,eval_roc_auc,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
,,,2.3008849557522124,260,0.15006223320960999,0.98,0.9807692307692308,0.98,0.9799919967987194,0.9968,204.3553,0.489,0.064,,,,,
0.001,0.01924196071922779,1.145631067961165e-05,2.3893805309734515,270,,,,,,,,,,,,,,
,,,2.3893805309734515,270,0.15911413729190826,0.97,0.970188075230092,0.97,0.96999699969997,0.9968,197.6525,0.506,0.066,,,,,
0.0004,0.011782770045101643,1.1067961165048544e-05,2.47787610619469,280,,,,,,,,,,,,,,
,,,2.47787610619469,280,0.20502927899360657,0.95,0.9501800720288114,0.95,0.94999499949995,0.9968,198.8039,0.503,0.065,,,,,
0.0629,40.58265686035156,1.0679611650485437e-05,2.566371681415929,290,,,,,,,,,,,,,,
,,,2.566371681415929,290,0.21495166420936584,0.95,0.9501800720288114,0.95,0.94999499949995,0.9968,192.0409,0.521,0.068,,,,,
0.0702,0.010783727280795574,1.029126213592233e-05,2.6548672566371683,300,,,,,,,,,,,,,,
,,,2.6548672566371683,300,0.15874819457530975,0.98,0.9807692307692308,0.98,0.9799919967987194,0.9968,192.4361,0.52,0.068,,,,,
0.1626,0.012455210089683533,9.902912621359224e-06,2.7433628318584073,310,,,,,,,,,,,,,,
,,,2.7433628318584073,310,0.1577835977077484,0.98,0.9807692307692308,0.98,0.9799919967987194,0.9968,208.5498,0.48,0.062,,,,,
0.0004,0.016369536519050598,9.514563106796117e-06,2.831858407079646,320,,,,,,,,,,,,,,
,,,2.831858407079646,320,0.1616659164428711,0.96,0.96,0.96,0.96,0.9968,196.8502,0.508,0.066,,,,,
0.0126,2.529606819152832,9.12621359223301e-06,2.920353982300885,330,,,,,,,,,,,,,,
,,,2.920353982300885,330,0.16210618615150452,0.96,0.96,0.96,0.96,0.9972000000000001,195.6764,0.511,0.066,,,,,
0.0004,0.013220957480370998,8.737864077669904e-06,3.0088495575221237,340,,,,,,,,,,,,,,
,,,3.0088495575221237,340,0.17580939829349518,0.96,0.96,0.96,0.96,0.9972000000000001,195.5575,0.511,0.066,,,,,
0.0003,0.006400173529982567,8.349514563106797e-06,3.0973451327433628,350,,,,,,,,,,,,,,
,,,3.0973451327433628,350,0.17887546122074127,0.96,0.96,0.96,0.96,0.9976,195.3637,0.512,0.067,,,,,
0.0003,0.07233277708292007,7.96116504854369e-06,3.185840707964602,360,,,,,,,,,,,,,,
,,,3.185840707964602,360,0.18099382519721985,0.96,0.96,0.96,0.96,0.9976,195.6178,0.511,0.066,,,,,
0.0416,0.06560932099819183,7.572815533980583e-06,3.274336283185841,370,,,,,,,,,,,,,,
,,,3.274336283185841,370,0.18118590116500854,0.96,0.9607371794871794,0.96,0.959983993597439,0.9968,195.4337,0.512,0.067,,,,,
0.0009,0.011211813427507877,7.184466019417476e-06,3.3628318584070795,380,,,,,,,,,,,,,,
,,,3.3628318584070795,380,0.23420332372188568,0.97,0.9716981132075472,0.97,0.9699729756781104,0.9964000000000001,195.7093,0.511,0.066,,,,,
0.0002,0.004302095156162977,6.79611650485437e-06,3.4513274336283186,390,,,,,,,,,,,,,,
,,,3.4513274336283186,390,0.24341781437397003,0.97,0.9716981132075472,0.97,0.9699729756781104,0.9964000000000001,195.606,0.511,0.066,,,,,
0.0002,0.0037030267994850874,6.407766990291263e-06,3.5398230088495577,400,,,,,,,,,,,,,,
